Support / Oppose,Candidate,Amount,Purchase,Name,Office,Date,Aggregate Amount
Oppose,"Trump, Donald J",$855.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$362,205.18"
Support,"Cruz, Rafael Edward 'Ted'",$846.00,Media,KEEP THE PROMISE I,Presidential,2015-12-10,"$357,052.91"
Oppose,"Trump, Donald J",$838.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$361,350.18"
Oppose,"Rubio, Marco",$743.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$1,352,207.18"
Oppose,"Trump, Donald J",$418.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$973,029.09"
Oppose,"Trump, Donald J",$418.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$973,029.09"
Oppose,"Rubio, Marco",$378.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$1,360,844.18"
Oppose,"Trump, Donald J",$358.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$972,611.09"
Oppose,"Rubio, Marco",$324.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$145,175.89"
Support,"Cruz, Rafael Edward 'Ted'",$317.00,Media,KEEP THE PROMISE I,Presidential,2015-12-10,"$247,715.24"
Oppose,"Rubio, Marco",$294.00,Media,KEEP THE PROMISE I,Presidential,2015-12-10,"$246,115.24"
Oppose,"Rubio, Marco",$219.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$156,211.89"
Support,"Cruz, Rafael Edward 'Ted'",$207.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$1,360,466.18"
Support,"Cruz, Rafael Edward 'Ted'",$175.91,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$358,482.18"
Oppose,"Rubio, Marco",$175.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$145,350.89"
Support,"Cruz, Rafael Edward 'Ted'",$110.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$343,115.47"
Oppose,"Rubio, Marco",$78.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$144,929.89"
Oppose,"Trump, Donald J",$69.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$362,274.18"
Support,"Cruz, Rafael Edward 'Ted'",$63.00,Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$338,786.47"
