Support / Oppose,Candidate,Amount,Name,Purchase,Office,Date,Aggregate Amount
Support,"Cruz, Rafael 'Ted'","$3,378.21",Google,Digital Media Production/Placement - OKLAHOMA,Presidential,2016-03-01,"$905,888.46"
Oppose,"Faso, John J. Mr.","$3,350.00",Google,Estimated Cost: Online Advertising Services,State,,"$17,146.13"
Oppose,"Clinton, Hillary Rodham","$3,248.99","Google, Inc.",Ads- MO,Presidential,2016-10-24,"$216,168.90"
Oppose,"Kander, Jason","$3,248.99","Google, Inc.",Ads- MO,State,2016-10-24,"$13,161.42"
Support,"Mcginty, Kathleen","$3,223.83","Facebook, Inc.",Digital Advertising,State,2016-11-04,"$415,503.31"
Support,"Cruz, Rafael 'Ted'","$3,208.52",Google,Digital Media Production/Placement - MICHIGAN,Presidential,2016-03-08,"$1,256,635.92"
Support,"Cruz, Rafael 'Ted'","$3,202.67",Facebook,Digital Media Production/Placement,Presidential,2016-04-01,"$2,356,550.42"
Support,"Cruz, Rafael 'Ted'","$3,199.21",Google,Digital Media Production/Placement,Presidential,2016-02-27,"$607,104.27"
Oppose,"Trump, Donald","$3,188.34",Facebook,Facebook Ads,Presidential,2016-09-27,"$69,589.38"
Support,"Cruz, Ted","$3,184.29",Facebook,Digital Media Production/Placement,Presidential,2016-01-19,"$14,178.58"
Support,"Cruz, Rafael 'Ted'","$3,177.58",Facebook,Digital Media Production/Placement,Presidential,2016-02-25,"$555,955.06"
Support,"Cruz, Ted","$3,146.56",YouTube,Digital Media Production/Placement,Presidential,2015-12-29,"$190,599.10"
Support,"Cruz, Rafael 'Ted'","$3,144.86",Facebook,Digital Media Production/Placement - VIRGINIA,Presidential,2016-03-01,"$955,763.82"
Support,"Cruz, Rafael Edward 'Ted'","$3,139.62",YouTube - Memo Item,Digital Media Production/Placement,Presidential,2015-12-28,$0.00
Support,"Trump, Donald J.","$3,100.00",Facebook.com,Internet Advertising,Presidential,2016-11-03,"$13,100.00"
Support,"Cruz, Rafael 'Ted'","$3,093.77",Facebook,Digital Media Production/Placement,Presidential,2016-02-26,"$577,411.25"
Support,"Cruz, Rafael 'Ted'","$3,092.59",Google,Digital Media Production/Placement - GEORGIA,Presidential,2016-02-28,"$689,134.07"
Support,"Cruz, Ted","$3,083.35",Facebook,Digital Media Production/Placement,Presidential,2016-01-23,"$170,817.84"
Support,"Cruz, Ted","$3,072.55",YouTube,Digital Media Production/Placement,Presidential,2015-12-30,"$198,974.40"
Support,"Cruz, Rafael 'Ted'","$3,039.36",Google,Digital Media Production/Placement,Presidential,2016-02-25,"$561,529.18"
Support,"Cruz, Rafael 'Ted'","$3,022.58",Facebook,Digital Media Production/Placement - UTAH,Presidential,2016-03-22,"$2,317,347.75"
Oppose,"Trump, Donald","$3,017.65",Facebook,Facebook Ads,Presidential,2016-09-30,"$82,806.69"
Support,"Cruz, Ted","$3,014.01",YouTube,Digital Media Production/Placement,Presidential,2015-12-31,"$205,529.30"
Support,"Cruz, Rafael 'Ted'","$3,010.82",Google,Digital Media Production/Placement,Presidential,2016-02-25,"$558,965.88"
Support,"Cruz, Ted","$3,008.96",Facebook,Digital Media Production/Placement,Presidential,2016-01-21,"$39,992.76"
Support,"Cruz, Ted","$3,004.75",Facebook,Online Advertising,Presidential,,"$150,431.93"
Support,"Cruz, Ted","$3,004.75",Facebook,Online Advertising,Presidential,2016-03-15,"$148,280.05"
Support,"Cruz, Ted","$3,002.99",Facebook,Online Advertising,Presidential,2016-03-08,"$93,756.87"
Support,"Cruz, Ted","$3,002.53",Facebook,Online Advertising,Presidential,2016-02-29,"$84,405.57"
Support,"O'Malley, Martin","$3,000.00",Facebook,Advertising,Presidential,2015-05-31,$0.00
Oppose,"Trump, Donald J.","$3,000.00",Facebook,Online Advertising,Presidential,2016-10-21,"$277,237.17"
Oppose,"Trump, Donald J.","$3,000.00",Facebook,Internet Advertising,Presidential,2016-10-15,"$150,802.27"
Support,"Raskin, Jamie","$3,000.00",Google,Estimated Cost for Digital Advertising,State,2016-04-19,"$3,500.00"
Support,"Cruz, Rafael Edward Ted","$3,000.00","Facebook, Inc.",Facebook Ads,Presidential,,$0.00
Support,"Clinton, Hillary Rodham","$2,950.00",Facebook,Online Advertising,Presidential,2016-11-03,"$554,652.37"
Support,"Cruz, Ted","$2,926.00",Facebook,Digital Media Production/Placement,Presidential,2016-01-22,"$157,449.40"
Support,"Cruz, Rafael Edward 'Ted'","$2,900.52",YouTube - Memo Item,Digital Media Production/Placement,Presidential,2015-12-27,$0.00
Support,"Cruz, Rafael 'Ted'","$2,827.22",Facebook,Digital Media Production/Placement - VIRGINIA,Presidential,2016-02-29,"$792,803.57"
Support,"Cruz, Rafael 'Ted'","$2,819.86",Facebook,Digital Media Production/Placement - KANSAS,Presidential,2016-03-03,"$1,017,376.30"
Support,"Cruz, Rafael 'Ted'","$2,816.68",Google,Digital Media Production/Placement - IDAHO,Presidential,2016-03-08,"$1,245,502.94"
Support,"Cruz, Rafael 'Ted'","$2,806.17",Facebook,Digital Media Production/Placement,Presidential,2016-02-26,"$577,123.65"
Support,"Cruz, Rafael Edward 'Ted'","$2,762.36",Facebook - [Memo Item],Digital Media Production/Placement,Presidential,2015-12-24,$0.00
Support,"Cruz, Rafael 'Ted'","$2,750.78",Facebook,Digital Media Production/Placement - ARKANSAS,Presidential,2016-02-29,"$784,411.97"
Support,"Cruz, Rafael 'Ted'","$2,746.16",Facebook,Digital Media Production/Placement - ARIZONA,Presidential,2016-03-18,"$2,245,884.88"
Support,"Clinton, Hillary Rodham","$2,700.00",Facebook,Online Advertising,Presidential,2016-11-01,"$470,102.62"
Support,"Cruz, Rafael Edward Ted","$2,681.73","Facebook, Inc.",Facebook Ads,Presidential,,$0.00
Support,"Cruz, Rafael Edward 'Ted'","$2,674.11",YouTube - Memo Item,Digital Media Production/Placement,Presidential,2015-12-24,$0.00
Support,"Cruz, Rafael 'Ted'","$2,655.23",Google,Digital Media Production/Placement,Presidential,2016-02-26,"$580,066.48"
